"M49","ISO3","Países","prL_mean","prL_025","prL_975"
124,"CAN","Canadá","3.74e-08","2.20e-10","2.09e-07"
208,"DNK","Dinamarca","4.35e-05","1.77e-06","1.80e-04"
840,"USA","Estados Unidos","7.37e-06","2.37e-07","3.01e-05"
578,"NOR","Noruega","4.10e-07","3.75e-09","2.22e-06"
NA,"","All","5.14e-05","2.01e-06","2.13e-04"
