"Parameter","Estimate","Std. Error","t value","Est","SE","Lower","Upper"
"(Intercept)",-0.000301252335471466,8.1150401713497e-05,-3.71227164758892,-0.000301252335471466,8.1150401713497e-05,-0.00046030712282992,-0.000142197548113012
"P4",0.000188988381807334,8.25226360380454e-05,2.29013990440399,0.000188988381807334,8.25226360380454e-05,2.72440151727653e-05,0.000350732748441903
"P3",5.92855959323894e-05,7.46169524549095e-06,7.94532528894359,5.92855959323894e-05,7.46169524549095e-06,4.46606732512271e-05,7.39105186135516e-05
"ou",1.02046796481871e-06,3.35035923808711e-08,30.45846407209,1.02046796481871e-06,3.35035923808711e-08,9.54800923752203e-07,1.08613500588522e-06
"to",7.09342053890815e-10,2.02257502284199e-09,0.350712357207939,7.09342053890815e-10,2.02257502284199e-09,-3.25490499087949e-09,4.67358909866112e-09
"hp",0.000153320028603801,1.05455430418548e-05,14.5388462211269,0.000153320028603801,1.05455430418548e-05,0.000132650764241766,0.000173989292965837
"no",-1.44895346664122e-13,4.08431060420711e-14,-3.54760841437648,-1.44895346664122e-13,4.08431060420711e-14,-2.24947834506582e-13,-6.4842858821663e-14
"P1",0.0010259619179171,2.06014059248216e-05,49.8005777693539,0.0010259619179171,2.06014059248216e-05,0.000985583162304453,0.00106634067352975
